orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
14319318402,ACCOUTIDENTIFIER,14319318402, Sell,MESU3,MES,Micro E-mini S&P 500,4484.75,2,07/24/2023 10:28:39,14319318452, Filled,-2,0,0.25,,14319318452,07/24/2023 10:28:04,8/11/23,2,multibracket, Stop,,4484.75,,4484.75,2,4484.75,4484.75
14319318404,ACCOUTIDENTIFIER,14319318404, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318424, Canceled,-2,0,0.25,,14319318424,07/24/2023 10:22:53,8/11/23,2,multibracket, Limit,4490.50,,4490.5,,,,
14319318406,ACCOUTIDENTIFIER,14319318406, Sell,MESU3,MES,Micro E-mini S&P 500,4484.75,2,07/24/2023 10:28:39,14319318454, Filled,-2,0,0.25,,14319318454,07/24/2023 10:28:04,8/11/23,2,multibracket, Stop,,4484.75,,4484.75,2,4484.75,4484.75
14319318535,ACCOUTIDENTIFIER,14319318535, Buy,MESU3,MES,Micro E-mini S&P 500,4483.5,1,07/24/2023 10:30:02,14319318535, Filled,-2,0,0.25,,14319318535,07/24/2023 10:29:55,8/11/23,1,multibracket, Limit,4483.50,,4483.5,,1,4483.50,4483.5
14319318538,ACCOUTIDENTIFIER,14319318538, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318854, Canceled,-2,0,0.25,,14319318854,07/24/2023 10:51:44,8/11/23,1,multibracket, Limit,4486.25,,4486.25,,,,
14319318540,ACCOUTIDENTIFIER,14319318540, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318906, Filled,-2,0,0.25,,14319318906,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318565,ACCOUTIDENTIFIER,14319318565, Buy,MESU3,MES,Micro E-mini S&P 500,4481.5,1,07/24/2023 10:30:48,14319318565, Filled,-2,0,0.25,,14319318565,07/24/2023 10:30:44,8/11/23,1,multibracket, Limit,4481.50,,4481.5,,1,4481.50,4481.5
14319318568,ACCOUTIDENTIFIER,14319318568, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318810, Canceled,-2,0,0.25,,14319318810,07/24/2023 10:43:18,8/11/23,1,multibracket, Limit,4484.25,,4484.25,,,,
14319318570,ACCOUTIDENTIFIER,14319318570, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318908, Filled,-2,0,0.25,,14319318908,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318603,ACCOUTIDENTIFIER,14319318603, Buy,MESU3,MES,Micro E-mini S&P 500,4480.75,1,07/24/2023 10:31:59,14319318603, Filled,-2,0,0.25,,14319318603,07/24/2023 10:31:53,8/11/23,1,multibracket, Limit,4480.75,,4480.75,,1,4480.75,4480.75
14319318606,ACCOUTIDENTIFIER,14319318606, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318842, Canceled,-2,0,0.25,,14319318842,07/24/2023 10:51:31,8/11/23,1,multibracket, Limit,4484.50,,4484.5,,,,
14319318608,ACCOUTIDENTIFIER,14319318608, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318910, Filled,-2,0,0.25,,14319318910,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318645,ACCOUTIDENTIFIER,14319318645, Buy,MESU3,MES,Micro E-mini S&P 500,4480.5,1,07/24/2023 10:33:09,14319318645, Filled,-2,0,0.25,,14319318645,07/24/2023 10:33:08,8/11/23,1,multibracket, Limit,4480.50,,4480.5,,1,4480.50,4480.5
14319318648,ACCOUTIDENTIFIER,14319318648, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318806, Canceled,-2,0,0.25,,14319318806,07/24/2023 10:43:16,8/11/23,1,multibracket, Limit,4484.75,,4484.75,,,,
14319318650,ACCOUTIDENTIFIER,14319318650, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318912, Filled,-2,0,0.25,,14319318912,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318723,ACCOUTIDENTIFIER,14319318723, Buy,MESU3,MES,Micro E-mini S&P 500,4478.75,1,07/24/2023 10:37:15,14319318723, Filled,-2,0,0.25,,14319318723,07/24/2023 10:37:15,8/11/23,1,multibracket, Limit,4478.75,,4478.75,,1,4478.75,4478.75
14319318732,ACCOUTIDENTIFIER,14319318732, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318850, Canceled,-2,0,0.25,,14319318850,07/24/2023 10:51:36,8/11/23,1,multibracket, Limit,4484.00,,4484.0,,,,
14319318734,ACCOUTIDENTIFIER,14319318734, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318914, Filled,-2,0,0.25,,14319318914,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318773,ACCOUTIDENTIFIER,14319318773, Buy,MESU3,MES,Micro E-mini S&P 500,4477.5,1,07/24/2023 10:40:19,14319318773, Filled,-2,0,0.25,,14319318773,07/24/2023 10:40:15,8/11/23,1,multibracket, Limit,4477.50,,4477.5,,1,4477.50,4477.5
14319318776,ACCOUTIDENTIFIER,14319318776, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319318846, Canceled,-2,0,0.25,,14319318846,07/24/2023 10:51:34,8/11/23,1,multibracket, Limit,4485.00,,4485.0,,,,
14319318778,ACCOUTIDENTIFIER,14319318778, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 10:56:53,14319318916, Filled,-2,0,0.25,,14319318916,07/24/2023 10:56:49,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319318997,ACCOUTIDENTIFIER,14319318997, Buy,MESU3,MES,Micro E-mini S&P 500,,,,14319318997, Canceled,-2,0,0.25,,14319318997,07/24/2023 10:58:42,8/11/23,1,multibracket, Limit,4481.50,,4481.5,,,,
14319319000,ACCOUTIDENTIFIER,14319319000, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319319000, Canceled,-2,0,0.25,,14319319000,07/24/2023 10:58:42,8/11/23,1,multibracket, Limit,4486.50,,4486.5,,,,
14319319002,ACCOUTIDENTIFIER,14319319002, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319319002, Canceled,-2,0,0.25,,14319319002,07/24/2023 10:58:42,8/11/23,1,multibracket, Stop,,4479.00,,4479.0,,,
14319319014,ACCOUTIDENTIFIER,14319319014, Buy,MESU3,MES,Micro E-mini S&P 500,4481.5,1,07/24/2023 10:59:12,14319319014, Filled,-2,0,0.25,,14319319014,07/24/2023 10:59:12,8/11/23,1,multibracket, Market,,,,,1,4481.50,4481.5
14319319023,ACCOUTIDENTIFIER,14319319023, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319319033, Canceled,-2,0,0.25,,14319319033,07/24/2023 10:59:12,8/11/23,1,multibracket, Limit,4486.50,,4486.5,,,,
14319319025,ACCOUTIDENTIFIER,14319319025, Sell,MESU3,MES,Micro E-mini S&P 500,4482.0,1,07/24/2023 11:03:07,14319319047, Filled,-2,0,0.25,,14319319047,07/24/2023 11:00:37,8/11/23,1,multibracket, Stop,,4482.00,,4482.0,1,4482.00,4482.0
14319319063,ACCOUTIDENTIFIER,14319319063, Sell,MESU3,MES,Micro E-mini S&P 500,4473.5,1,07/24/2023 16:01:40,14319319063, Filled,-2,0,0.25,,14319319063,07/24/2023 16:01:40,8/11/23,1,multibracket, Market,,,,,1,4473.50,4473.5
14319319072,ACCOUTIDENTIFIER,14319319072, Buy,MESU3,MES,Micro E-mini S&P 500,,,,14319319206, Canceled,-2,0,0.25,,14319319206,07/24/2023 16:07:06,8/11/23,1,multibracket, Limit,4472.25,,4472.25,,,,
14319319074,ACCOUTIDENTIFIER,14319319074, Buy,MESU3,MES,Micro E-mini S&P 500,4474.75,1,07/24/2023 16:09:19,14319319240, Filled,-2,0,0.25,,14319319240,07/24/2023 16:09:19,8/11/23,1,multibracket, Stop,,4474.75,,4474.75,1,4474.75,4474.75
14319319093,ACCOUTIDENTIFIER,14319319093, Sell,MESU3,MES,Micro E-mini S&P 500,4476.0,1,07/24/2023 16:02:48,14319319093, Filled,-2,0,0.25,,14319319093,07/24/2023 16:02:48,8/11/23,1,multibracket, Market,,,,,1,4476.00,4476.0
14319319102,ACCOUTIDENTIFIER,14319319102, Buy,MESU3,MES,Micro E-mini S&P 500,,,,14319319204, Canceled,-2,0,0.25,,14319319204,07/24/2023 16:07:06,8/11/23,1,multibracket, Limit,4472.25,,4472.25,,,,
14319319104,ACCOUTIDENTIFIER,14319319104, Buy,MESU3,MES,Micro E-mini S&P 500,4474.75,1,07/24/2023 16:09:19,14319319242, Filled,-2,0,0.25,,14319319242,07/24/2023 16:09:19,8/11/23,1,multibracket, Stop,,4474.75,,4474.75,1,4474.75,4474.75
14319319155,ACCOUTIDENTIFIER,14319319155, Sell,MESU3,MES,Micro E-mini S&P 500,4478.5,1,07/24/2023 16:05:26,14319319155, Filled,-2,0,0.25,,14319319155,07/24/2023 16:05:26,8/11/23,1,multibracket, Market,,,,,1,4478.50,4478.5
14319319164,ACCOUTIDENTIFIER,14319319164, Buy,MESU3,MES,Micro E-mini S&P 500,,,,14319319208, Canceled,-2,0,0.25,,14319319208,07/24/2023 16:07:06,8/11/23,1,multibracket, Limit,4472.25,,4472.25,,,,
14319319166,ACCOUTIDENTIFIER,14319319166, Buy,MESU3,MES,Micro E-mini S&P 500,4474.75,1,07/24/2023 16:09:19,14319319244, Filled,-2,0,0.25,,14319319244,07/24/2023 16:09:19,8/11/23,1,multibracket, Stop,,4474.75,,4474.75,1,4474.75,4474.75
14319319286,ACCOUTIDENTIFIER,14319319286, Buy,MESU3,MES,Micro E-mini S&P 500,,,,14319319286, Canceled,-2,0,0.25,,14319319286,07/24/2023 16:10:58,8/11/23,1,multibracket, Limit,4472.00,,4472.0,,,,
14319319289,ACCOUTIDENTIFIER,14319319289, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319319289, Canceled,-2,0,0.25,,14319319289,07/24/2023 16:10:58,8/11/23,1,multibracket, Limit,4477.00,,4477.0,,,,
14319319291,ACCOUTIDENTIFIER,14319319291, Sell,MESU3,MES,Micro E-mini S&P 500,,,,14319319291, Canceled,-2,0,0.25,,14319319291,07/24/2023 16:10:58,8/11/23,1,multibracket, Stop,,4469.50,,4469.5,,,
