symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESU3,-2,0,0.25,14319318126,14319318230,2,4484.75,4485.25,$5.00,08/11/2023 10:11:56,08/11/2023 10:19:13,7min 16sec
MESU3,-2,0,0.25,14319318126,14319318238,2,4484.75,4485.25,$5.00,08/11/2023 10:11:56,08/11/2023 10:19:13,7min 16sec
MESU3,-2,0,0.25,14319318258,14319318468,2,4485.50,4484.75,$(7.50),08/11/2023 10:19:53,08/11/2023 10:28:39,8min 46sec
MESU3,-2,0,0.25,14319318258,14319318476,2,4485.50,4484.75,$(7.50),08/11/2023 10:19:53,08/11/2023 10:28:39,8min 46sec
MESU3,-2,0,0.25,14319318312,14319318484,2,4483.25,4484.75,$15.00,08/11/2023 10:22:34,08/11/2023 10:28:39,6min 4sec
MESU3,-2,0,0.25,14319318312,14319318492,2,4483.25,4484.75,$15.00,08/11/2023 10:22:34,08/11/2023 10:28:39,6min 4sec
MESU3,-2,0,0.25,14319318394,14319318500,2,4483.00,4484.75,$17.50,08/11/2023 10:22:53,08/11/2023 10:28:39,5min 45sec
MESU3,-2,0,0.25,14319318394,14319318508,2,4483.00,4484.75,$17.50,08/11/2023 10:22:53,08/11/2023 10:28:39,5min 45sec
MESU3,-2,0,0.25,14319318542,14319318930,1,4483.50,4482.00,$(7.50),08/11/2023 10:30:02,08/11/2023 10:56:53,26min 51sec
MESU3,-2,0,0.25,14319318572,14319318938,1,4481.50,4482.00,$2.50,08/11/2023 10:30:48,08/11/2023 10:56:53,26min 4sec
MESU3,-2,0,0.25,14319318610,14319318946,1,4480.75,4482.00,$6.25,08/11/2023 10:31:59,08/11/2023 10:56:53,24min 53sec
MESU3,-2,0,0.25,14319318652,14319318954,1,4480.50,4482.00,$7.50,08/11/2023 10:33:09,08/11/2023 10:56:53,23min 44sec
MESU3,-2,0,0.25,14319318726,14319318962,1,4478.75,4482.00,$16.25,08/11/2023 10:37:15,08/11/2023 10:56:53,19min 38sec
MESU3,-2,0,0.25,14319318780,14319318970,1,4477.50,4482.00,$22.50,08/11/2023 10:40:19,08/11/2023 10:56:53,16min 33sec
MESU3,-2,0,0.25,14319319017,14319319051,1,4481.50,4482.00,$2.50,08/11/2023 10:59:12,08/11/2023 11:03:07,3min 55sec
MESU3,-2,0,0.25,14319319252,14319319066,1,4474.75,4473.50,$(6.25),08/11/2023 16:09:19,08/11/2023 16:01:40,7min 39sec
MESU3,-2,0,0.25,14319319260,14319319096,1,4474.75,4476.00,$6.25,08/11/2023 16:09:19,08/11/2023 16:02:48,6min 30sec
MESU3,-2,0,0.25,14319319268,14319319158,1,4474.75,4478.50,$18.75,08/11/2023 16:09:19,08/11/2023 16:05:26,3min 53sec
