_id,_orderId,_contractId,_timestamp,_tradeDate,_action,_qty,_price,_active,_accountId,Fill ID,Order ID,Timestamp,Date,Account,B/S,Quantity,Price,_priceFormat,_priceFormatType,_tickSize,Contract,Product,Product Description,commission
14319318938,14319318734,3154798,2023-08-11 08:56:53.484Z,2023-08-11,1,1,4482.0,true,2801081,14319318938,14319318734,07/24/2023 10:56:53,8/11/23,ACCOUTIDENTIFIER, Sell,1,4482.00,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319318780,14319318773,3154798,2023-08-11 08:40:19.593Z,2023-08-11,0,1,4477.5,true,2801081,14319318780,14319318773,07/24/2023 10:40:19,8/11/23,ACCOUTIDENTIFIER, Buy,1,4477.50,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319318930,14319318778,3154798,2023-08-11 08:56:53.484Z,2023-08-11,1,1,4482.0,true,2801081,14319318930,14319318778,07/24/2023 10:56:53,8/11/23,ACCOUTIDENTIFIER, Sell,1,4482.00,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319017,14319319014,3154798,2023-08-11 08:59:12.108Z,2023-08-11,0,1,4481.5,true,2801081,14319319017,14319319014,07/24/2023 10:59:12,8/11/23,ACCOUTIDENTIFIER, Buy,1,4481.50,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319051,14319319025,3154798,2023-08-11 09:03:07.412Z,2023-08-11,1,1,4482.0,true,2801081,14319319051,14319319025,07/24/2023 11:03:07,8/11/23,ACCOUTIDENTIFIER, Sell,1,4482.00,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319066,14319319063,3154798,2023-08-11 14:01:40.204Z,2023-08-11,1,1,4473.5,true,2801081,14319319066,14319319063,07/24/2023 16:01:40,8/11/23,ACCOUTIDENTIFIER, Sell,1,4473.50,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319252,14319319074,3154798,2023-08-11 14:09:19.453Z,2023-08-11,0,1,4474.75,true,2801081,14319319252,14319319074,07/24/2023 16:09:19,8/11/23,ACCOUTIDENTIFIER, Buy,1,4474.75,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319096,14319319093,3154798,2023-08-11 14:02:48.993Z,2023-08-11,1,1,4476.0,true,2801081,14319319096,14319319093,07/24/2023 16:02:48,8/11/23,ACCOUTIDENTIFIER, Sell,1,4476.00,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319260,14319319104,3154798,2023-08-11 14:09:19.453Z,2023-08-11,0,1,4474.75,true,2801081,14319319260,14319319104,07/24/2023 16:09:19,8/11/23,ACCOUTIDENTIFIER, Buy,1,4474.75,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319158,14319319155,3154798,2023-08-11 14:05:26.053Z,2023-08-11,1,1,4478.5,true,2801081,14319319158,14319319155,07/24/2023 16:05:26,8/11/23,ACCOUTIDENTIFIER, Sell,1,4478.50,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
14319319268,14319319166,3154798,2023-08-11 14:09:19.453Z,2023-08-11,0,1,4474.75,true,2801081,14319319268,14319319166,07/24/2023 16:09:19,8/11/23,ACCOUTIDENTIFIER, Buy,1,4474.75,-2,0,0.25,MESU3,MES,Micro E-mini S&P 500,0.25
